artist,genres
PRhyme,No Genre
Cal-A,stutter house
Lil' Flip,southern hip hop
Lil' Flip,crunk
Alison Wonderland,edm trap
Alison Wonderland,future bass
Alison Wonderland,edm
Ball Park Music,No Genre
Black Veil Brides,emo
Black Veil Brides,screamo
Dribble2much,No Genre
Dua Lipa,pop
Good Times Ahead,No Genre
Higher Brothers,chinese hip hop
Higher Brothers,chinese r&b
A$AP Twelvyy,No Genre
Mase,No Genre
C & C Music Factory,No Genre
Naughty By Nature,old school hip hop
Naughty By Nature,east coast hip hop
Sammy Hagar,glam metal
Sammy Hagar,aor
Sammy Hagar,classic rock
Outkast,southern hip hop
Outkast,hip hop
THEY.,No Genre
Nas,east coast hip hop
Nas,old school hip hop
Nas,hip hop
Dame D.O.L.L.A,No Genre
Rag'n'Bone Man,No Genre
Gang Starr,east coast hip hop
Gang Starr,old school hip hop
Gang Starr,hip hop
Gang Starr,boom bap
Bag Raiders,alternative dance
Club Dogo,italian trap
Major Lazer,moombahton
Jamie xx,No Genre
G-Eazy,No Genre
Kiiara,No Genre
Lil Kleine,No Genre
The Internet,alternative r&b
The Internet,neo soul
Dougie F,No Genre
Diddy,hip hop
Diddy,east coast hip hop
Jain,french pop
Sofi de la Torre,No Genre
Ghemon,No Genre
Yuksek,nu disco
Yuksek,french house
Yuksek,french indie pop
Yuksek,disco house
Yuksek,funky house
Yuksek,indie dance
The 1975,No Genre
Kali Uchis,No Genre
mgk,No Genre
M.I.A.,No Genre
Friendly Fires,new rave
Friendly Fires,indie dance
Santigold,No Genre
Emicida,brazilian hip hop
Emicida,nova mpb
Ana Tijoux,latin hip hop
AM444,No Genre
Dynamicduo,k-rap
Dynamicduo,k-pop
Living Colour,funk rock
Living Colour,hard rock
Jeru The Damaja,east coast hip hop
Jeru The Damaja,boom bap
Jeru The Damaja,old school hip hop
Jeru The Damaja,hip hop
A Tribe Called Quest,jazz rap
A Tribe Called Quest,east coast hip hop
A Tribe Called Quest,hip hop
A Tribe Called Quest,old school hip hop
Afrika Bambaataa,miami bass
Afrika Bambaataa,funk melody
Afrika Bambaataa,old school hip hop
Afrika Bambaataa,east coast hip hop
